,filename,T
0,train_1.csv,5
1,train_2.csv,3
2,train_3.csv,5
3,train_4.csv,4
4,train_5.csv,5
5,train_6.csv,4
6,train_7.csv,4
7,train_8.csv,7
8,train_9.csv,13
9,train_10.csv,4
10,train_11.csv,4
11,train_12.csv,9
12,train_13.csv,7
13,train_14.csv,5
14,train_15.csv,7
15,train_16.csv,5
16,train_17.csv,4
17,train_18.csv,14
18,train_19.csv,6
19,train_20.csv,4
20,train_21.csv,3
21,train_22.csv,5
22,train_23.csv,4
23,train_24.csv,3
24,train_25.csv,3
25,train_26.csv,7
26,train_27.csv,8
27,train_28.csv,5
28,train_29.csv,3
29,train_30.csv,4
30,train_31.csv,6
31,train_32.csv,3
32,train_33.csv,11
33,train_34.csv,4
34,train_35.csv,4
35,train_36.csv,5
36,train_37.csv,5
37,train_38.csv,8
38,train_39.csv,4
39,train_40.csv,5
40,train_41.csv,4
41,train_42.csv,6
42,train_43.csv,14
43,train_44.csv,5
44,train_45.csv,6
45,train_46.csv,4
46,train_47.csv,3
47,train_48.csv,6
48,train_49.csv,6
49,train_50.csv,3
50,train_51.csv,4
51,train_52.csv,5
52,train_53.csv,4
53,train_54.csv,7
54,train_55.csv,9
55,train_56.csv,6
56,train_57.csv,6
57,train_58.csv,3
58,train_59.csv,4
59,train_60.csv,6
60,train_61.csv,11
61,train_62.csv,4
62,train_63.csv,4
63,train_64.csv,5
64,train_65.csv,5
65,train_66.csv,20
66,train_67.csv,3
67,train_68.csv,8
68,train_69.csv,12
69,train_70.csv,11
70,train_71.csv,6
71,train_72.csv,5
72,train_73.csv,3
73,train_74.csv,19
74,train_75.csv,4
75,train_76.csv,4
76,train_77.csv,3
77,train_78.csv,14
78,train_79.csv,4
79,train_80.csv,6
80,train_81.csv,10
81,train_82.csv,10
82,train_83.csv,3
83,train_84.csv,4
84,train_85.csv,5
85,train_86.csv,5
86,train_87.csv,7
87,train_88.csv,5
88,train_89.csv,5
89,train_90.csv,4
90,train_91.csv,12
91,train_92.csv,7
92,train_93.csv,9
93,train_94.csv,5
94,train_95.csv,3
95,train_96.csv,6
96,train_97.csv,7
97,train_98.csv,4
98,train_99.csv,8
99,train_100.csv,6
100,train_101.csv,4
101,train_102.csv,5
102,train_103.csv,7
103,train_104.csv,17
104,train_105.csv,4
105,train_106.csv,10
106,train_107.csv,8
107,train_108.csv,4
108,train_109.csv,4
109,train_110.csv,3
110,train_111.csv,4
111,train_112.csv,4
112,train_113.csv,5
113,train_114.csv,6
114,train_115.csv,6
115,train_116.csv,7
116,train_117.csv,5
117,train_118.csv,4
118,train_119.csv,6
119,train_120.csv,5
120,train_121.csv,5
121,train_122.csv,7
122,train_123.csv,11
123,train_124.csv,3
124,train_125.csv,6
125,train_126.csv,6
